state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, roc.v1_ca10, 1, a, 732, 0.5833333
goal.joint_independent, roc.v1_ca20, 1, a, 732, 0.7172131
goal.joint_independent, roc.v2_ca05, 1, a, 732, 0.0000000
goal.joint_independent, roc.v2_ca10, 1, a, 732, 0.3424908
goal.joint_independent, roc.v2_ca20, 1, a, 732, 0.6410256
requested.addr, acc, 1, a, 732, 0.9890710
requested.addr, l2, 1, a, 732, 0.0202742
requested.addr, l2.binary, 1, a, 732, 0.0202742
requested.addr, avgp, 1, a, 732, 0.9844029
requested.addr, neglogp, 1, a, 732, 0.0847203
requested.addr, mrr, 1, a, 732, 0.9945355
requested.addr, update.acc, 1, a, 732, 0.9717742
requested.addr, update.prec, 1, a, 732, 0.9958678
requested.addr, roc.v1_eer, 1, a, 732, 0.0204918
requested.addr, roc.v1_ca05, 1, a, 732, 0.9890710
requested.addr, roc.v1_ca10, 1, a, 732, 0.9890710
requested.addr, roc.v1_ca20, 1, a, 732, 0.9890710
requested.addr, roc.v2_ca05, 1, a, 732, 0.0013812
requested.addr, roc.v2_ca10, 1, a, 732, 0.0013812
requested.addr, roc.v2_ca20, 1, a, 732, 0.0013812
requested.area, acc, 1, a, 732, 0.9959016
requested.area, l2, 1, a, 732, 0.0057295
requested.area, l2.binary, 1, a, 732, 0.0057295
requested.area, avgp, 1, a, 732, 0.9942402
requested.area, neglogp, 1, a, 732, 0.0108469
requested.area, mrr, 1, a, 732, 0.9979508
requested.area, update.acc, 1, a, 732, 0.9727273
requested.area, update.prec, 1, a, 732, 1.0000000
requested.area, roc.v1_eer, 1, a, 732, 0.0027322
requested.area, roc.v1_ca05, 1, a, 732, 0.9959016
requested.area, roc.v1_ca10, 1, a, 732, 0.9959016
requested.area, roc.v1_ca20, 1, a, 732, 0.9959016
requested.area, roc.v2_ca05, 1, a, 732, 0.9629630
requested.area, roc.v2_ca10, 1, a, 732, 0.9629630
requested.area, roc.v2_ca20, 1, a, 732, 0.9629630
requested.food, acc, 1, a, 732, 0.9918033
requested.food, l2, 1, a, 732, 0.0084178
requested.food, l2.binary, 1, a, 732, 0.0084178
requested.food, avgp, 1, a, 732, 0.9914730
requested.food, neglogp, 1, a, 732, 0.0149678
requested.food, mrr, 1, a, 732, 0.9959016
requested.food, update.acc, 1, a, 732, 0.9672131
requested.food, update.prec, 1, a, 732, 0.9833333
requested.food, roc.v1_eer, 1, a, 732, 0.0027322
requested.food, roc.v1_ca05, 1, a, 732, 0.9918033
requested.food, roc.v1_ca10, 1, a, 732, 0.9918033
requested.food, roc.v1_ca20, 1, a, 732, 0.9918033
requested.food, roc.v2_ca05, 1, a, 732, 0.9517906
requested.food, roc.v2_ca10, 1, a, 732, 0.9517906
requested.food, roc.v2_ca20, 1, a, 732, 0.9986226
requested.phone, acc, 1, a, 732, 0.9822404
requested.phone, l2, 1, a, 732, 0.0220301
requested.phone, l2.binary, 1, a, 732, 0.0220301
requested.phone, avgp, 1, a, 732, 0.9768236
